NAME                                VERSION      TYPE                    
@gar/promise-retry                  1.0.3        npm                     
@isaacs/fs-minipass                 4.0.1        npm                     
@isaacs/string-locale-compare       1.1.0        npm                     
@npmcli/agent                       4.0.0        npm                     
@npmcli/arborist                    9.4.2        npm                     
@npmcli/config                      10.8.1       npm                     
@npmcli/fs                          5.0.0        npm                     
@npmcli/git                         7.0.2        npm                     
@npmcli/installed-package-contents  4.0.0        npm                     
@npmcli/map-workspaces              5.0.3        npm                     
@npmcli/metavuln-calculator         9.0.3        npm                     
@npmcli/name-from-folder            4.0.0        npm                     
@npmcli/node-gyp                    5.0.0        npm                     
@npmcli/package-json                7.0.5        npm                     
@npmcli/promise-spawn               9.0.1        npm                     
@npmcli/query                       5.0.0        npm                     
@npmcli/redact                      4.0.0        npm                     
@npmcli/run-script                  10.0.4       npm                     
@sigstore/bundle                    4.0.0        npm                     
@sigstore/core                      3.2.0        npm                     
@sigstore/protobuf-specs            0.5.0        npm                     
@sigstore/sign                      4.1.1        npm                     
@sigstore/tuf                       4.0.2        npm                     
@sigstore/verify                    3.1.0        npm                     
@tufjs/canonical-json               2.0.0        npm                     
@tufjs/models                       4.1.0        npm                     
abbrev                              4.0.0        npm                     
accepts                             2.0.0        npm                     
agent-base                          7.1.4        npm                     
alpine-baselayout                   3.7.2-r0     apk                     
alpine-baselayout-data              3.7.2-r0     apk                     
alpine-keys                         2.6-r0       apk                     
alpine-release                      3.23.4-r0    apk                     
apk-tools                           3.0.6-r0     apk                     
aproba                              2.1.0        npm                     
archy                               1.0.0        npm                     
balanced-match                      4.0.4        npm                     
bin-links                           6.0.0        npm                     
binary-extensions                   3.1.0        npm                     
body-parser                         2.2.2        npm                     
brace-expansion                     5.0.4        npm                     
busybox                             1.37.0-r30   apk                     
busybox-binsh                       1.37.0-r30   apk                     
bytes                               3.1.2        npm                     
ca-certificates-bundle              20260413-r0  apk                     
cacache                             20.0.4       npm                     
call-bind-apply-helpers             1.0.2        npm                     
call-bound                          1.0.4        npm                     
chalk                               5.6.2        npm                     
chownr                              3.0.0        npm                     
ci-info                             4.4.0        npm                     
cidr-regex                          5.0.3        npm                     
cmd-shim                            8.0.0        npm                     
common-ancestor-path                2.0.0        npm                     
content-disposition                 1.1.0        npm                     
content-type                        1.0.5        npm                     
content-type                        2.0.0        npm                     
cookie                              0.7.2        npm                     
cookie-signature                    1.2.2        npm                     
corepack                            0.34.6       npm                     
cssesc                              3.0.0        npm                     
debug                               4.4.3        npm     (+1 duplicate)  
depd                                2.0.0        npm                     
diff                                8.0.3        npm                     
dunder-proto                        1.0.1        npm                     
ee-first                            1.1.1        npm                     
encodeurl                           2.0.0        npm                     
env-paths                           2.2.1        npm                     
es-define-property                  1.0.1        npm                     
es-errors                           1.3.0        npm                     
es-object-atoms                     1.1.1        npm                     
escape-html                         1.0.3        npm                     
etag                                1.8.1        npm                     
exponential-backoff                 3.1.3        npm                     
express                             5.2.1        npm                     
fastest-levenshtein                 1.0.16       npm                     
fdir                                6.5.0        npm                     
finalhandler                        2.1.1        npm                     
forwarded                           0.2.0        npm                     
fresh                               2.0.0        npm                     
fs-minipass                         3.0.3        npm                     
function-bind                       1.1.2        npm                     
get-intrinsic                       1.3.0        npm                     
get-proto                           1.0.1        npm                     
glob                                13.0.6       npm                     
gopd                                1.2.0        npm                     
graceful-fs                         4.2.11       npm                     
has-symbols                         1.1.0        npm                     
hasown                              2.0.3        npm                     
hosted-git-info                     9.0.2        npm                     
http-cache-semantics                4.2.0        npm                     
http-errors                         2.0.1        npm                     
http-proxy-agent                    7.0.2        npm                     
https-proxy-agent                   7.0.6        npm                     
iconv-lite                          0.7.2        npm     (+1 duplicate)  
ignore-walk                         8.0.0        npm                     
inherits                            2.0.4        npm                     
ini                                 6.0.0        npm                     
init-package-json                   8.2.5        npm                     
ip-address                          10.1.0       npm                     
ipaddr.js                           1.9.1        npm                     
is-cidr                             6.0.3        npm                     
is-promise                          4.0.0        npm                     
isexe                               4.0.0        npm                     
json-parse-even-better-errors       5.0.0        npm                     
json-stringify-nice                 1.1.4        npm                     
jsonparse                           1.3.1        npm                     
just-diff                           6.0.2        npm                     
just-diff-apply                     5.5.0        npm                     
libapk                              3.0.6-r0     apk                     
libcrypto3                          3.5.6-r0     apk                     
libgcc                              15.2.0-r2    apk                     
libnpmaccess                        10.0.3       npm                     
libnpmdiff                          8.1.5        npm                     
libnpmexec                          10.2.5       npm                     
libnpmfund                          7.0.19       npm                     
libnpmorg                           8.0.1        npm                     
libnpmpack                          9.1.5        npm                     
libnpmpublish                       11.1.3       npm                     
libnpmsearch                        9.0.1        npm                     
libnpmteam                          8.0.2        npm                     
libnpmversion                       8.0.3        npm                     
libssl3                             3.5.6-r0     apk                     
libstdc++                           15.2.0-r2    apk                     
lru-cache                           11.2.7       npm                     
make-fetch-happen                   15.0.5       npm                     
math-intrinsics                     1.1.0        npm                     
media-typer                         1.1.0        npm                     
merge-descriptors                   2.0.0        npm                     
mime-db                             1.54.0       npm                     
mime-types                          3.0.2        npm                     
minimatch                           10.2.4       npm                     
minipass                            3.3.6        npm     (+1 duplicate)  
minipass                            7.1.3        npm                     
minipass-collect                    2.0.1        npm                     
minipass-fetch                      5.0.2        npm                     
minipass-flush                      1.0.5        npm                     
minipass-pipeline                   1.2.4        npm                     
minipass-sized                      2.0.0        npm                     
minizlib                            3.1.0        npm                     
ms                                  2.1.3        npm     (+1 duplicate)  
musl                                1.2.5-r23    apk                     
musl-utils                          1.2.5-r23    apk                     
mute-stream                         3.0.0        npm                     
negotiator                          1.0.0        npm     (+1 duplicate)  
